FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Abulaban Majdi Bader,Chairman,"Delphi Packard Electric Systems Co., Ltd.",Yantai,Shandong,201805,26,"Manufacture of computer, electronic and optical products",138024.9,78076.3,3115
Agarwal Pawan,Director,"Zhuzhou Metalforming Machine Tool Co., Ltd.",Zhuzhou,Hunan,412007,41,Construction of buildings,1430.8,14864.2,150
Agee C. Martha,Independent Director,China BAK Battery Inc.,Dalian,Liaoning,116422,27,Manufacture of electrical equipment,123014.1,43968.2,58
Aggarwal Vikrant Null,Chairman,"Cummins Generator Technologies Co., Ltd.",Wuxi,Jiangsu,214028,27,Manufacture of electrical equipment,193900.6,99759.7,900
Aguignier Philippe,Non-Executive Director,"Bank Of Nanjing Co.,Ltd.",Nanjing,Jiangsu,210008,64,"Financial service activities, except insurance and pension funding",2673411,92434344,6736
Ai Ji,Independent Non-Executive Director,Jiahua Stores Holdings Limited,Shenzhen,Guangdong,518101,47,"Retail trade, except of motor vehicles and motorcycles",133300.7,150081.1,1626
Ai Jianhua,Chairman,"Jinan Pepsi-Cola Beverage Co., Ltd.",Jinan,Shandong,250100,11,Manufacture of beverages,148740.4,2445.6,616
Ai Jiao,Director,Zhongbai Holdings Group Co Ltd,Wuhan,Hubei,430035,47,"Retail trade, except of motor vehicles and motorcycles",2744580,1428138,37727
Ai Lande,Chairman,SKF (Dalian) Bearings and Precision Technologies Co. Ltd.,Dalian,Liaoning,116600,46,"Wholesale trade, except of motor vehicles and motorcycles",100992.5,264356.2,300
Ai Lu Ming,Director,Humanwell Healthcare Group Co Ltd,Wuhan,Hubei,430075,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1144582,1962245,8934
Ai Min,Director,Shenzhen Clou Electronics Co Ltd,Shenzhen,Guangdong,518057,26,"Manufacture of computer, electronic and optical products",317261.6,753930.6,3031
Ai Qiuhong,Independent Director,"Hubei Sanonda Co., Ltd.",Jingzhou,Hubei,434001,20,Manufacture of chemicals and chemical products,508237.3,473226.9,2056
Ai Qiyou,Director,"Wuhan Jiangxia District Jigang Cement Co., Ltd.",Wuhan,Hubei,430213,23,Manufacture of other non-metallic mineral products,26216,628.3,25
Ai Tingchun,Director,"Jilin Pharmaceutical Co., Ltd.",Changchun,Jilin,132115,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,18821.3,44771.6,349
Ai Wei,Director,"Chongqing Tong Jun Ge Co.,Ltd",Chongqing,Chongqing,400012,47,"Retail trade, except of motor vehicles and motorcycles",770796.1,536133.5,4576
Ai Wei Er,Director,"Chongqing Taiji Industry(Group)Co., Ltd.",Chongqing,Chongqing,408000,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1129394,1669557,11052
Ai Xinping,Director,EVE Energy Co Ltd,Huizhou,Guangdong,516006,27,Manufacture of electrical equipment,196226,271020.2,4080
Ai Yan,Independent Director,Ginwa Enterprise (Group) Inc.,Xi'an,Shaanxi,710065,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,115696.3,204296.1,767
Ai Youguan,Director,Infotmic Co Ltd,Shanghai,Shanghai,200050,41,Construction of buildings,28391.4,122747.6,240
Ai Yu,Non-Executive Non-Independent Director,Ying Li International Real Estate Ltd.,Chongqing,Chongqing,400010,68,Real estate activities,167263.7,1538805,48
AKIYMA Tsuyoshi,Vice Chairman of the Board,Shandong Longda Meat Foodstuff Co Ltd,Yantai,Shandong,265200,1,"Crop and animal production, hunting and related service activities",575651,280630.5,2066
A'la Fate,Chairman,"Sanmen Shuntong Automobile Fittings Co., Ltd.",Taizhou,Zhejiang,317101,29,"Manufacture of motor vehicles, trailers and semi-trailers",1240.8,2094.7,40
Alan Chalmers Jope,Chairman,Bestfoods Guangzhou Ltd.,Guangzhou,Guangdong,510990,10,Manufacture of food products,28563.4,66950.3,176
Alan Storey,Chairman of the Board,"Adam Equipment (Wuhan) Co., Ltd.",Wuhan,Hubei,430056,26,"Manufacture of computer, electronic and optical products",3921,3296.1,300
Alesbrook Scott,Chairman of the Board,Stretchline (Zhongshan) Limited,Zhongshan,Guangdong,528459,20,Manufacture of chemicals and chemical products,20537.8,20680.1,600
Alexander Forbes,Chairman of the Board,"Jabil Circuit (Panyu) Co., Ltd.",Guangzhou,Guangdong,510530,26,"Manufacture of computer, electronic and optical products",2479560,1112505,8000
Alexander Forbes Ian James,Chairman,"Jabil Circuit (Guangzhou) Co., Ltd.",Guangzhou,Guangdong,510530,26,"Manufacture of computer, electronic and optical products",1787776,1426700,8000
Aliband Simon Walden,Chairman,"Otto (Shanghai) Management Consulting Co., Ltd.",Shanghai,Shanghai,200137,62,"Computer programming, consultancy and related activities",542.1,5406.2,35
Alta,Chairman,ThyssenKrupp Presta Dalian Co. Ltd.,Dalian,Liaoning,116600,29,"Manufacture of motor vehicles, trailers and semi-trailers",244124.7,426.1,150
Ambrosius Bernd,Chairman,"Ambrosius Exhibition Design And Building (Shanghai) Co., Ltd.",Shanghai,Shanghai,200051,82,"Office administrative, office support and other business support activities",17962.8,6563.1,100
Amitabh Deepak,Director,"Xiangshan Fahua Electric Wire & Cable Co., Ltd.",Ningbo,Zhejiang,315722,66,Activities auxiliary to financial service and insurance activities,5110.9,2220.6,48
An Bohe,Chairman,"Shandong Linghai Steel Trade Co., Ltd.",Jinan,Shandong,250306,46,"Wholesale trade, except of motor vehicles and motorcycles",19253.8,9208,20
An Chao,Director,Guangdong Macro Co Ltd,Foshan,Guangdong,528333,27,Manufacture of electrical equipment,632452.1,630003.4,4192
An Chaohong,Chairman,"Shenzhen Vapel Power Supply Technology Co., Ltd.",Shenzhen,Guangdong,518055,27,Manufacture of electrical equipment,161242.3,125962.6,1350
An Chuanli,Independent Director,"Chongqing Jian Feng Chemical Co., Ltd",Chongqing,Chongqing,408601,20,Manufacture of chemicals and chemical products,481865.6,1101653,2404
An Chuyu,Chairman of the Board,Guangxi Hechi Chemical Co Ltd,Hechi,Guangxi,547007,20,Manufacture of chemicals and chemical products,90131.4,257006.8,1155
An Fen,Director,"Anhui Technology Imp. & Exp. Co., Ltd.",Hefei,Anhui,230031,46,"Wholesale trade, except of motor vehicles and motorcycles",511009.6,334900.8,40
An Guangyou,Non-Executive Director,CCID Consulting Company Limited,Beijing,Beijing,100048,70,Activities of head offices; management consultancy activities,21309.5,28847.9,379
An Hongguang,Non-Executive Director,China Datang Corp Renewable Power Co Ltd,Beijing,Beijing,100053,35,"Electricity, gas, steam and air conditioning supply",841757.1,9694187,3847
An Hongjun,Director,Western Securities Co Ltd,Xi'an,Shaanxi,710004,66,Activities auxiliary to financial service and insurance activities,328060.2,4663285,2163
An Hongshi,Director,"Wendeng Yuanyin Electronics Co., Ltd.",Weihai,Shandong,264417,26,"Manufacture of computer, electronic and optical products",148005.8,29635.5,301
An Jian,Independent Non-Executive Director,EVOC Intelligent Technology Company Ltd.,Shenzhen,Guangdong,518057,26,"Manufacture of computer, electronic and optical products",375385.3,644614.2,953
An Jianguo,Chairman of the Board,Shijiazhuang Dongfang Energy Co Ltd,Shijiazhuang,Hebei,50031,35,"Electricity, gas, steam and air conditioning supply",126239.2,353171.2,1549
An Jin,Chairman of the Board,"Anhui Jianghuai Automobile Co.,  Ltd.",Hefei,Anhui,230022,29,"Manufacture of motor vehicles, trailers and semi-trailers",5550401,5725900,20763
An Jin,Chairman of the Board,"Yanfeng Visteon (Hefei) Automotive Trim Systems Co., Ltd.",Hefei,Anhui,230601,29,"Manufacture of motor vehicles, trailers and semi-trailers",76435.8,35762.9,650
An Jingwen,Independent Director,Liaoning Hongyang Energy Resource Invest,Shenyang,Liaoning,110031,35,"Electricity, gas, steam and air conditioning supply",42337.8,129404,426
An Jintian,Chairman,"Shanghai China Steel Group Co., Ltd.",Shanghai,Shanghai,200122,46,"Wholesale trade, except of motor vehicles and motorcycles",133725.1,38933.3,200
An Jiongjun,Chairman,"Tianjin Mobis Automotive Parts Co., Ltd.",Tianjin,Tianjin,300457,29,"Manufacture of motor vehicles, trailers and semi-trailers",486765.8,230008,500
An Jiongjun,Chairman,"Tianjin Mobis Automotive Parts Co., Ltd.",Tianjin,Tianjin,300457,29,"Manufacture of motor vehicles, trailers and semi-trailers",486765.8,230008,500
An Lili,Non-Executive Director,Capinfo Company Limited,Beijing,Beijing,100191,62,"Computer programming, consultancy and related activities",122841.3,246549.9,1524
An Mingji,Director,"Yanbian Yiqiao Biochemical Pharmaceutical Co., Ltd.",Yanji,Jilin,133100,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,11206.8,875.1,71
An Pindong,Non-Executive Director,Tianjin Capital Environmental Prtctn Grp,Tianjin,Tianjin,300381,37,Sewerage,268616.5,1751354,1420
An Pingsui,Chairman,"Qinghai Salt Lake Industry Co., Ltd.",Xining,Qinghai,816000,8,Other mining and quarrying,844694.6,4055271,6630
An Pingsui,Chairman,"Qinghai Salt Lake Industry Co., Ltd.",Xining,Qinghai,810003,8,Other mining and quarrying,844694.6,4055271,6630
An Qing Heng,Independent Director,"Liaoning SG Automotive Group Co., Ltd.",Dandong,Liaoning,118001,29,"Manufacture of motor vehicles, trailers and semi-trailers",658426.1,1349552,5382
An Shuangrong,Director,Hainan Yatai Industrial Develpmnt Co Ltd,Haikou,Hainan,570125,41,Construction of buildings,5571.4,48993.2,107
An Shukun,Independent Director,"Yunnan Nantian Electronics Info Co.,Ltd.",Kunming,Yunnan,650041,62,"Computer programming, consultancy and related activities",296829,420320.1,3707
An Tao,Director,Citic Guoan Wine Co Ltd,Wulumuqi,Xinjiang,830002,11,Manufacture of beverages,84964.2,639244.8,762
An Tao,Director,"Xinjiang Yilite Industry Co., Ltd.",Yili Hasake,Xinjiang,835811,11,Manufacture of beverages,264295.8,372411.7,1770
An Tiecheng,Chairman,"Faw Car Sales Co., Ltd.",Changchun,Jilin,130011,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,1002997,107540.8,300
An Tongliang,Independent Director,"Jiangsu Sainty Corp., Ltd",Nanjing,Jiangsu,210012,46,"Wholesale trade, except of motor vehicles and motorcycles",937785,704742.3,3260
An Wenbin,Independent Director,China Internet Cafe Holdings Group Inc,Shenzhen,Guangdong,518116,64,"Financial service activities, except insurance and pension funding",15823.6,25769.7,656
An Xiaomin,Director,Hakim Information Technology Co Ltd,Hangzhou,Zhejiang,310007,62,"Computer programming, consultancy and related activities",121104.9,201098.4,468
An Xuechen,Vice Chairman of the Board,"Shaanxi QinLing Cement (Group) Co., Ltd.",Beijing,Shaanxi,100052,23,Manufacture of other non-metallic mineral products,109438.6,331227.4,1489
An Ying,Director,Hualan Biological EngineeringInc,Xinxiang,Henan,453003,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,201836.3,607945.3,1199
An Yubao,Executive Chairman of the Board,Consun Pharmaceutical Group Ltd,Guangzhou,Guangdong,510760,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,118600.5,268189.5,1273
An Yun,Director,"Jinan Baitong Concrete Co., Ltd.",Jinan,Shandong,250032,23,Manufacture of other non-metallic mineral products,17292.9,1602.4,105
Anderson Dennis,Chairman,Wal-Mart Global Procurement (Shanghai) Opearation Group,Shanghai,Shanghai,200336,46,"Wholesale trade, except of motor vehicles and motorcycles",1181.6,660.5,250
Anderson Geraint,Chairman of the Board,"Ab Electronic (Suzhou) Co., Ltd.",Suzhou,Jiangsu,215129,26,"Manufacture of computer, electronic and optical products",3490.7,1839.7,100
Anderson J. Simon,Independent Director,Sinovac Biotech Ltd.,Beijing,Beijing,100085,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,63101,238530,668
Andreas Wolfgang Schmerbeck,Chairman,Siemens Power Plant Automation Ltd.,Nanjing,Jiangsu,210032,26,"Manufacture of computer, electronic and optical products",58682.4,71230.5,200
Ang Wei Chuan,Independent Non-Executive Director,China Stationery Ltd,Putian,Fujian,59200,46,"Wholesale trade, except of motor vehicles and motorcycles",97834.8,438217.7,901
Anthony David Lewis,Chairman,Garmco (Shanghai) Ltd.,Suzhou,Jiangsu,200040,25,"Manufacture of fabricated metal products, except machinery and equipment",2144.6,3306.1,30
Anthony Richard Wilson,Chairman,"Metro (Suzhou) Technologies Co., Ltd.",Suzhou,Jiangsu,215021,26,"Manufacture of computer, electronic and optical products",202488.7,146405.4,722
Anthony Rry Lewis,Chairman,"Exxon Chemical (Panyu) Co., Ltd.",Guangzhou,Guangdong,511455,20,Manufacture of chemicals and chemical products,12454.6,28602.8,800
Antianzhangren Null,Chairman,"Suzhou Nissho Precision Electronics Co., Ltd.",Suzhou,Jiangsu,215164,26,"Manufacture of computer, electronic and optical products",4707.3,3256.2,126
Antolin Eric,Chairman,"Hutchinson (Wuhan) Automotive Rubber Products Co., Ltd.",Wuhan,Hubei,430056,29,"Manufacture of motor vehicles, trailers and semi-trailers",76336.8,87389.4,900
Antolin Eric,Chairman,"Hutchinson Industrial Rubber Products (Suzhou) Co., Ltd.",Suzhou,Jiangsu,215122,82,"Office administrative, office support and other business support activities",108733.2,74015,900
Antonio Appignani,Director,Yantai Changyu Pioneer Wine Company Ltd,Yantai,Shandong,264000,11,Manufacture of beverages,674697.6,1437313,4868
Ao Gang,Chairman of the Board,Aerospace Communications Holdings Co Ltd,Hangzhou,Zhejiang,310009,46,"Wholesale trade, except of motor vehicles and motorcycles",1144090,1266171,7141
Ao Shunrong,Chairman,Beijing Comfort Technologies Co Ltd,Beijing,Beijing,100083,28,Manufacture of machinery and equipment n.e.c.,14282.3,11698.3,145
Arana Kiyo Tsugu,Chairman,"Changyang Concrete (Qinhuangdao) Co., Ltd.",Qinhuangdao,Hebei,66000,23,Manufacture of other non-metallic mineral products,10316.1,14155.8,63
Arason Arni Alvar,Chairman,"Ossur Prosthetic And Rehabilitation (Shanghai) Co., Ltd.D/B/A Ossur Asia",Shanghai,Shanghai,200233,46,"Wholesale trade, except of motor vehicles and motorcycles",1007.1,3629.1,40
Arts Werner,Chairman,"Lar Process Analysers (Hangzhou) Co., Ltd.",Shanghai,Shanghai,201203,46,"Wholesale trade, except of motor vehicles and motorcycles",428.6,170.1,30
Arun Kumar Bhardwaj,Chairman,Levi Strauss Commerce (Shanghai) Limited,Shanghai,Shanghai,200040,46,"Wholesale trade, except of motor vehicles and motorcycles",140815.1,70809.7,100
Ashida Norihiro,Non-Executive Director,MicroPort Scientific Corporation,Shanghai,Shanghai,201203,32,Other manufacturing,355284,939734,2903
Au Alan,Director,China Nepstar Chain Drugstore Ltd.(ADR),Shenzhen,Guangdong,518054,47,"Retail trade, except of motor vehicles and motorcycles",479366,244185.9,13050
Au Fung Lan,Independent Non-Executive Director,Changmao Biochemical Engineering Co Ltd,Changzhou,Jiangsu,213034,20,Manufacture of chemicals and chemical products,91167.1,111649.3,533
Au Ngai,Independent Non-Executive Director,Huishang Bank Corp Ltd,Hefei,Anhui,230001,64,"Financial service activities, except insurance and pension funding",2095378.9,77857440,6697
Au Tien Chee,Independent Non-Executive Director,China Success Finance Group Holdings Ltd,Foshan,Guangdong,528000,64,"Financial service activities, except insurance and pension funding",9560.5,118314.1,67
Auer Franz Xaver,Chairman,"Shuangshi Fenjian Technology (Qingdao) Co., Ltd.",Qingdao,Shandong,266101,26,"Manufacture of computer, electronic and optical products",2267.1,1521.7,19
Auguste Georges,Chairman,"St Microelectronics (Shenzhen)Manufacturing Co., Ltd.",Shenzhen,Guangdong,518116,26,"Manufacture of computer, electronic and optical products",178866.7,128805.8,1800
Aumund Franz Walter,Chairman,"Aumund Machinery Trading (Beijing) Co., Ltd.",Beijing,Beijing,100004,46,"Wholesale trade, except of motor vehicles and motorcycles",26898.9,36141.1,28
Austin Heald Wayne,Chairman,"Ti Automotive Systems (Changchun ) Co., Ltd.",Changchun,Jilin,130033,29,"Manufacture of motor vehicles, trailers and semi-trailers",200500.7,1203.7,300
Au-Yeung Cheung Kin,Director,The9 Limited,Shanghai,Shanghai,201203,82,"Office administrative, office support and other business support activities",10562.4,84273.2,498
Au-Yueng Cheung Kin,Independent Director,Xueda Education Group (ADR),Beijing,Beijing,100028,85,Education,338314,278949,16454
Avvas V.R.Rao,Director,"Zhejiang Inte Industrial Electric Co., Ltd.",Wenzhou,Zhejiang,325603,41,Construction of buildings,1766.5,86995,48
Ayrle Joerg,Chairman,"Osram Kunshan Display Optic Co., Ltd.",Suzhou,Jiangsu,215300,27,Manufacture of electrical equipment,75618.1,30500.2,460
Azman Hisham Bin Jaafar,Non-Executive Non-Independent Director,P99 Holdings Ltd,Beijing,Beijing,10044,56,Food and beverage service activities,0,8846.6,781
Azuma Higashi,Director,"V V Food and Beverage Co.,Ltd",Xuzhou,Jiangsu,221111,10,Manufacture of food products,724316.8,1212855,2493
Ba Jing,Director,"Jiangsu Hongtu High Technology Co., Ltd.",Nanjing,Jiangsu,210012,47,"Retail trade, except of motor vehicles and motorcycles",2835978,2876092,7438
Ba Junyu,Non-Executive Independent Director,Shengjing Bank Co Ltd,Shenyang,Liaoning,110013,64,"Financial service activities, except insurance and pension funding",1856749,81180680,4036
Ba Shusong,Independent Director,Guoyuan Securities Company Limited,Hefei,Anhui,230001,66,Activities auxiliary to financial service and insurance activities,586472.4,8570647,2609
Ba Zhen,Independent Director,HUNAN BOYUN NEW MATERIALS Co Ltd,Changsha,Hunan,410205,30,Manufacture of other transport equipment,61719.8,280130.4,749
Baelz Florian,Chairman,"Baelz Heat Automation Equipments (Beijing) Co., Ltd.",Beijing,Beijing,100021,46,"Wholesale trade, except of motor vehicles and motorcycles",268,194.5,15
Bahety Ashok Kumar,Chairman,"Changzhou Jitai Aviation Products Co., Ltd.",Changzhou,Jiangsu,213002,30,Manufacture of other transport equipment,874.8,612,27
Bai Bing,Chairman,"Guangdong Xinyue Traffic Investment Co.,Ltd",Guangzhou,Guangdong,510000,46,"Wholesale trade, except of motor vehicles and motorcycles",70967.8,131140.7,300
Bai Binghui,Director,"Xinjiang Yilite Industry Co., Ltd.",Yili Hasake,Xinjiang,835811,11,Manufacture of beverages,264295.8,372411.7,1770
Bai Dacheng,Chairman,"Changchun Sanyou Automobile Parts Manufacuture Co., Ltd.",Changchun,Jilin,130031,29,"Manufacture of motor vehicles, trailers and semi-trailers",40441.6,54148.3,300
Bai Dahong,Director,Guizhou Province Tongtaibai Cement Factory,Zunyi,Guizhou,563200,23,Manufacture of other non-metallic mineral products,655.1,1796.2,100
Bai Gang,Chairman,"Beijing Tlscontact Consulting Co., Ltd.",Beijing,Beijing,100020,82,"Office administrative, office support and other business support activities",6756.6,6572.2,65
Bai Gang,Director,"Jiangxi Wannianqing Cement Co., Ltd",Nanchang,Jiangxi,330096,23,Manufacture of other non-metallic mineral products,1084709,1425118,7365
Bai Guangxin,Chairman,"Jilin Forest Industry Co., Ltd.",Changchun,Jilin,130012,2,Forestry and logging,276241.1,561068.8,6539
Bai Hong,Chairman of the Board,"Arun Qi Jianghe Waste-Heat Power Generation Co., Ltd.",Hulun Buir,Inner Mongolia Autonomous Region,162750,35,"Electricity, gas, steam and air conditioning supply",1768.4,8267.8,25
Bai Hua,Independent Director,Guangzhou Echom Sci & Tech Co Ltd,Guangzhou,Guangdong,510663,66,Activities auxiliary to financial service and insurance activities,526328.7,589962,4858
Bai Hua,Chairman,"Zhejiang Hisun Chemical Co., Ltd.",Taizhou,Zhejiang,318000,20,Manufacture of chemicals and chemical products,39187,66857.7,2000
Bai Hua,Independent Director,Youngy Co Ltd,Guangzhou,Guangdong,510623,46,"Wholesale trade, except of motor vehicles and motorcycles",77208,145111.6,300
Bai Jianping,Chairman,"Yangzhong Nanyang Chemical Co., Ltd.",Zhenjiang,Jiangsu,212212,20,Manufacture of chemicals and chemical products,5412.5,3934.9,45
Bai Jin Rong,Independent Director,Beijing Urban-Rural Trade Centre Co. Ltd,Beijing,Beijing,100036,47,"Retail trade, except of motor vehicles and motorcycles",360203.9,721951,1131
Bai Jing,Independent Director,Hainan RuiZe New Building Material Co,Sanya,Hainan,572011,23,Manufacture of other non-metallic mineral products,182004.7,336734.6,1203
Bai Lanxu,Chairman,"Wuyi Electricity Supply Co., Ltd.",Hengshui,Hebei,53400,35,"Electricity, gas, steam and air conditioning supply",27930.9,22158.6,321
Bai Lina,Director,"Dandong Pharmaceutical Co., Ltd.",Dandong,Liaoning,118002,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,11747.9,2893,150
Bai Liqui,Director,"Advanced Battery Technologies, Inc.",Shuangyashan,Heilongjiang,150100,27,Manufacture of electrical equipment,97128.7,227598.5,4
Bai Mei,Chairman,"Hubei Yihua Fertilizer Co., Ltd.",Yichang,Hubei,443007,20,Manufacture of chemicals and chemical products,390027.2,609224.9,900
Bai Mei,Chairman,"Hubei Yihua Fertilizer Industry Co., Ltd.",Yichang,Hubei,443007,46,"Wholesale trade, except of motor vehicles and motorcycles",389996.5,608993.9,900
Bai Minghui,Vice Chairman of the Board,"Zhejiang Medicine Co., Ltd.",Shaoxing,Zhejiang,312366,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,784351.6,1269135,5921
Bai Minjie,Director,"Beijing Capital Airlines Co., Ltd.",Beijing,Beijing,100621,52,Warehousing and support activities for transportation,1020142,3510681,500
Bai Qiaoming,Director,"Shanghai New World Co., Ltd.",Shanghai,Shanghai,200003,47,"Retail trade, except of motor vehicles and motorcycles",540934.3,840976.1,1235
Bai Qing,Director,"Guangxia (Yinchuan) Industry Co., Ltd.",Yinchuan,Ningxia,750011,11,Manufacture of beverages,1361.2,44504.3,56
Bai Qinxian,Independent Non-Executive Director,Hanhua Financial Holding Co Ltd,Chongqing,Chongqing,401121,66,Activities auxiliary to financial service and insurance activities,324752.3,1925348,2260
Bai Shaoxiang,Independent Director,Chengtun Mining Group Co Ltd,Xiamen,Fujian,361012,46,"Wholesale trade, except of motor vehicles and motorcycles",543422.5,958544.3,465
Bai Shuxing,Director,Jiangsu Yanghe Brewery JSC Ltd.,Suqian,Jiangsu,223800,11,Manufacture of beverages,2381515,4637879,12629
Bai Tao,Independent Director,Sinodata Co Ltd,Beijing,Beijing,100191,62,"Computer programming, consultancy and related activities",178281,376899.9,778
Bai Wei,Independent Director,"Huatai Securities Co., Ltd.",Nanjing,Jiangsu,210019,66,Activities auxiliary to financial service and insurance activities,2225716,43903040,6421
Bai Wei,Independent Director,"China Pacific Insurance (Group) Co., Ltd",Shanghai,Shanghai,200120,65,"Insurance, reinsurance and pension funding, except compulsory social security",29972370,133067408,90829
Bai Wenbo,Independent Director,Wenzhou Hongfeng Electrical Alloy Co Ltd,Wenzhou,Zhejiang,325603,27,Manufacture of electrical equipment,108506.7,143443.1,945
Bai Wentao,Director,Hunan Shengjingshanhe Bio Tech Co Ltd,Yueyang,Hunan,414000,11,Manufacture of beverages,23373.9,57013.5,110
Bai Xi Li,Chairman of the Board,"Chongqing Taiji Industry(Group)Co., Ltd.",Chongqing,Chongqing,408000,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1129394,1669557,11052
Bai Xiaoguang,Chairman of the Board,"Baotou Beifang Chuangye Co., Ltd.",Baotou,Neimenggu,14032,30,Manufacture of other transport equipment,484288.5,553334.8,4015
Bai Xiaojiang,Executive Chairman of the Board,Fu Shou Yuan International Group Ltd,Shanghai,Shanghai,200030,96,Other personal service activities,129055,473359.2,1571
Bai Xiaomin,Independent Director,Beijing Sifang Automation Co Ltd,Beijing,Beijing,100085,27,Manufacture of electrical equipment,529813,818525.4,3957
Bai Xiaoping,Director,"Shenzhen Desay Battery Tech Co., Ltd.",Shenzhen,Guangdong,518057,27,Manufacture of electrical equipment,1037125,754054.3,6061
Bai Xingping,Chairman,"Xi'an Boning Mechanical And Electrical Equipment Co., Ltd.",Xi'an,Shaanxi,710075,46,"Wholesale trade, except of motor vehicles and motorcycles",712.3,874.2,15
Bai Yan,Independent Director,Jiajia Food Group Co Ltd,Changsha,Hunan,410600,10,Manufacture of food products,273459.6,370614.1,1886
Bai Yan,Independent Director,"Jiangsu Hengshun Vinegar Ind Co., Ltd.",Zhenjiang,Jiangsu,212028,10,Manufacture of food products,196007.9,362334.4,2317
Bai Yanchun,Independent Non-Executive Director,China Molybdenum Luoyang Co Ltd,Luoyang,Henan,471500,7,Mining of metal ores,1081402,4524528,7207
Bai Yang,Director,"Rizhao Huasai Foodstuffs Co., Ltd.",Rizhao,Shandong,276826,10,Manufacture of food products,173316.8,21197.6,69
Bai Yankang,Chairman,"Shanghai Showa Highpolymer Co., Ltd.",Shanghai,Shanghai,201707,20,Manufacture of chemicals and chemical products,46679.5,37807.1,300
Bai Yi,Independent Director,Inner Mongolia Yuan Xing Energy Co Ltd,Eerduosi,Neimenggu,17000,20,Manufacture of chemicals and chemical products,1168621,3149690,4936
Bai Yi,Independent Director,Luxi Chemical Group Co Ltd,Liaocheng,Shandong,252000,20,Manufacture of chemicals and chemical products,2114858,3203209,12527
Bai Yi,Independent Director,Wanhua Chemical Group Co Ltd,Yantai,Shandong,264013,20,Manufacture of chemicals and chemical products,3585265,6707731,7250
Bai Ying,Chairman of the Board,Yangquan Coal Industry Group Co Ltd,Yangquan,Shanxi,45000,5,Mining of coal and lignite,3363593,5141040,39156
Bai Yong,Director,Guangzhou Development Group Incorporated,Guangzhou,Guangdong,510623,35,"Electricity, gas, steam and air conditioning supply",3156337,5447707,4643
Bai Yong,Director,Hubei Energy Group Co Ltd,Wuhan,Hubei,430062,35,"Electricity, gas, steam and air conditioning supply",1183741,5430718,3646
Bai Yongcai,Director,Beijing Sijiqing Automobile Hydraulic Parts Factory,Beijing,Beijing,100097,29,"Manufacture of motor vehicles, trailers and semi-trailers",4461.9,7089.7,168
Bai Yuling,Director,"Kunming Yusi Pharmaceutical Co., Ltd.(Dongchuan District)",Kunming,Yunnan,654100,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,15086.2,22478.2,255
Bai Yunfu,"Chairman, Legal Representative","Shijiazhuang City Jingzhao Chemical Industry Co., Ltd.",Shijiazhuang,Hebei,51430,20,Manufacture of chemicals and chemical products,7971.4,1985.5,70
Bai Yunsheng,Director,Metro Land Corp Ltd,Beijing,Beijing,100022,41,Construction of buildings,565856.9,4783464,502
Bai Yuping,Chairman,"Chongqing International Investment Consultion Group Co., Ltd.",Chongqing,Chongqing,400020,62,"Computer programming, consultancy and related activities",29702.7,84386.9,110
Bai Yuxiang,Independent Director,Shanxi Lanhua Sci-Tech Venture Co Ltd,Jincheng,Shanxi,48000,5,Mining of coal and lignite,846616.8,3521118,19926
Bai Zhipeng,Independent Director,Xiamen Comfort Science&Technology,Xiamen,Fujian,361008,27,Manufacture of electrical equipment,456308.2,536026.7,6821
Bai Zhongsheng,Director,Jizhong Energy Resources Co Ltd,Xingtai,Hebei,54000,5,Mining of coal and lignite,2963353,6728931,49799
Bai Zhongze,Chairman,Jiangsu Yilian Investment Group Limited,Changzhou,Jiangsu,213162,46,"Wholesale trade, except of motor vehicles and motorcycles",161545.3,92500.8,63
Bailey Roger Donald,Chairman,"Marsh Bellofram Industrial Control Systems Co., Ltd.",Wuxi,Jiangsu,214192,26,"Manufacture of computer, electronic and optical products",1938.1,5869.8,150
Bainbridge James Philip,Non-Executive Chairman of the Board,Sino Gas & Energy Holdings Limited,Beijing,Beijing,100004,6,Extraction of crude petroleum and natural gas,1114.1,109415.6,9
Balloch Robert Howard,Non-Executive Director,China Maple Leaf Educational Systems Ltd,Dalian,Liaoning,116650,85,Education,87913.9,326838.5,2736
Ban Bengen,Chairman,"Anqiufuhua Food Co., Ltd.",Weifang,Shandong,262100,10,Manufacture of food products,34041.1,15246.7,756
Banben Gen,Chairman,"Anqiufuhua Food Co., Ltd.",Weifang,Shandong,262100,10,Manufacture of food products,34041.1,15246.7,756
