FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yin Chengguo,Chairman of the Board,INNER MONGOLIA YILI ENERGY COMPANY LTD.,Beijing,Beijing,100031,20,Manufacture of chemicals and chemical products,1949401,3251552,3763
Yin Chuanding,Director,"Shanghai Join Buy Co., Ltd",Shanghai,Shanghai,200040,47,"Retail trade, except of motor vehicles and motorcycles",17818.8,160952.7,351
Yin Chunyu,Independent Director,China Yida Holding Co,Fuzhou,Fujian,350003,73,Advertising and market research,13124.2,228799.9,656
Yin Dechun,"Chairman, Legal Representative","Weihai Ganghua Gas Co., Ltd.",Weihai,Shandong,264200,35,"Electricity, gas, steam and air conditioning supply",19024.4,83459.7,353
Yin Di Xi,Director,Lifan Industry (group) Co Ltd,Chongqing,Chongqing,400037,29,"Manufacture of motor vehicles, trailers and semi-trailers",1853105,3361203,8359
Yin Fuhua,Chairman,"Jiangyin Jianghua Microelectronics Materials Co., Ltd.",Wuxi,Jiangsu,214424,20,Manufacture of chemicals and chemical products,63319.7,557613.8,260
Yin Gang,Director,Aoxin Tianli Group Inc,Wuhan,Hubei,430010,1,"Crop and animal production, hunting and related service activities",43752.2,103553.5,434
Yin Gonghui,Independent Director,Shenzhen Techand Ecology & Environment,Shenzhen,Guangdong,518040,81,Services to buildings and landscape activities,325131.2,816728.8,1625
Yin Guangzhi,Independent Director,Hainan Yatai Industrial Develpmnt Co Ltd,Haikou,Hainan,570125,41,Construction of buildings,5571.4,48993.2,107
Yin Guangzhi,Independent Director,Hubei Energy Group Co Ltd,Wuhan,Hubei,430062,35,"Electricity, gas, steam and air conditioning supply",1183741,5430718,3646
Yin Guiying,Director,Vanfund Urban Investment&Dev Co Ltd,Beijing,Beijing,100028,46,"Wholesale trade, except of motor vehicles and motorcycles",31351.1,403974.9,72
Yin Hai,Non-Executive Director,Dalian Wanda Commercial Properties CoLtd,Beijing,Beijing,100022,41,Construction of buildings,17509040,91006072,61989
Yin Haopeng,Independent Director,Chengdu Road & Bridge Engineering Co Ltd,Chengdu,Sichuan,610045,42,Civil engineering,243146.6,1015730,531
